from_id,to_id,walk_d
5943926,5947536,783
5943927,5940311,783
5943927,5942118,705
5943927,5942119,392
5943927,5943926,548
5943927,5943927,0
5943927,5945732,548
5945727,5943920,705
5945727,5943921,470
5945727,5943922,705
5945727,5945727,0
5945727,5947532,705
5945727,5945725,783
5945727,5945726,470
5945727,5947531,627
5945728,5943922,705
5945728,5943923,627
5945728,5945728,0
5945728,5945729,548
5945728,5947532,627
5945728,5947533,548
5945728,5947534,627
5945729,5942114,783
5945729,5942115,783
5945729,5943922,627
5945729,5943923,548
5945729,5943924,783
5945729,5945728,548
5945729,5945729,0
5945729,5945730,470
5945729,5947533,627
5945729,5947534,627
5945729,5947535,627
5945730,5942116,783
5945730,5943922,783
5945730,5943923,548
5945730,5943924,470
5945730,5943925,705
5945730,5945729,470
5945730,5945730,0
5945730,5945731,705
5945730,5945732,783
5945730,5947534,627
5945730,5947535,470
5945730,5947536,705
5945731,5942117,783
5945731,5943924,783
5945731,5943925,548
5945731,5943926,627
5945731,5945730,705
5945731,5945731,0
5945731,5945732,470
5945731,5947535,783
5945731,5947536,548
5945732,5942117,783
5945732,5942118,783
5945732,5942119,783
5945732,5943924,783
5945732,5943925,548
5945732,5943926,470
5945732,5943927,548
5945732,5945730,783
5945732,5945731,470
5945732,5945732,0
5945732,5947536,627
5947532,5943922,783
5947532,5945727,705
5947532,5945728,627
5947532,5947532,0
5947532,5947533,470
5947532,5947534,783
5947532,5945726,627
5947532,5947531,548
5947532,5949332,783
5947532,5949333,783
5947533,5945728,548
5947533,5945729,627
5947533,5947532,470
5947533,5947533,0
5947533,5947534,392
5947533,5945726,705
5947533,5947531,783
5947533,5947535,627
5947533,5951133,783
5947534,5945728,627
5947534,5945729,627
5947534,5945730,627
5947534,5947532,783
5947534,5947533,392
5947534,5947534,0
5947534,5947535,392
5947534,5947536,705
5879935,5879935,0
5879935,5879936,783
5879935,5881787,548
5879935,5881788,548
5879935,5876226,783
5879935,5876227,783
5879935,5878080,627
5879935,5878081,470
5879935,5878082,627
5879935,5879934,627
5879936,5879935,783
5879936,5879936,0
5879936,5879937,627
5879936,5881788,548
5879936,5881790,705
5879936,5876227,705
5879936,5878081,627
5879936,5878082,470
5879936,5878083,627
5879937,5879936,627
5879937,5879937,0
5879937,5881789,783
5879937,5881790,470
5879937,5881791,548
5879937,5883641,705
5879937,5876228,783
5879937,5878082,705
5879937,5878083,548
5879937,5878084,627
5879937,5879938,548
5879937,5879939,783
5879937,5881792,783
5879985,5883689,783
5881785,5881786,470
5881785,5881787,705
5881785,5878078,783
5881785,5879931,627
5881785,5879932,548
5881785,5879933,705
5881785,5881784,470
5881786,5881786,0
5881786,5881787,470
5881786,5881788,783
5881786,5879932,705
5881786,5879933,548
5881786,5879934,627
5881786,5881784,783
5881787,5879935,548
5881787,5881786,470
5881787,5881787,0
5881787,5881788,392
5881787,5883637,783
5881787,5883638,705
5881787,5879933,705
5881787,5879934,470
5881788,5879935,548
5881788,5879936,548
5881788,5881786,783
5881788,5881787,392
5881788,5881788,0
5881788,5878082,705
5881788,5879934,627
5881789,5879937,783
5881789,5881789,0
5881789,5881790,470
5881789,5883641,548
5881789,5883642,705
5881789,5885489,783
5881790,5879936,705
5881790,5879937,470
5881790,5881789,470
5881790,5881790,0
5881790,5881791,548
5881790,5883641,392
5881790,5883642,548
5881790,5878083,783
5881790,5878084,783
5881790,5879938,627
5881790,5881792,783
5881791,5879937,548
5881791,5881790,548
5881791,5881791,0
5881791,5883641,783
5881791,5883642,783
5881791,5883643,627
5881791,5885493,783
5881791,5879938,627
5881791,5879939,783
5881791,5881792,548
5881793,5881793,0
5881793,5881794,548
5881793,5883643,548
5881793,5878086,783
5881793,5879939,705
5881793,5879940,470
5881793,5879941,627
5881793,5881792,470
5881794,5881793,548
5881794,5881794,0
5881794,5883644,705
5881794,5883645,548
5881794,5885495,705
5881794,5878087,783
5881794,5878088,783
5881794,5879940,627
5881794,5879941,470
5881794,5879943,783
5881794,5881792,783
5881794,5883646,783
5881838,5883689,548
5881839,5881839,0
5881840,5881839,470
5881841,5881839,783
5883636,5883637,548
5883636,5883638,783
5883636,5885486,627
5883636,5885487,705
5883636,5879932,783
5883636,5881784,783
5883637,5881787,783
5883637,5883637,0
5883637,5883638,470
5883637,5883639,705
5883637,5885486,783
5883637,5885487,627
5883637,5885488,705
5883638,5881787,705
5883638,5883637,470
5883638,5883638,0
5883638,5883639,548
5883638,5885487,705
5883638,5885488,470
5883638,5885489,627
5883638,5887336,783
5883638,5887337,705
5883639,5883637,705
5883639,5883638,548
5883639,5883639,0
5883639,5885488,627
5883639,5885489,470
5883639,5887337,783
5883640,5881789,470
5883640,5881790,705
5883640,5883641,627
5883640,5885489,783
5883641,5879937,705
5883641,5881789,548
5883641,5881790,392
5883641,5881791,783
5883641,5883641,0
5883641,5883642,470
5883641,5885492,705
5883641,5885493,783
5883642,5881789,705
5883642,5881790,548
5883642,5881791,783
5883642,5883641,470
5883642,5883642,0
5883642,5883643,548
5883642,5883644,783
5883642,5885492,548
5883642,5885493,627
5883642,5881792,705
5883643,5881791,627
5883643,5881793,548
5883643,5883642,548
5883643,5883643,0
